"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BT1","RTC_Battery","~","Battery:Battery_Panasonic_CR2032-HFN_Horizontal_CircularHoles","1",""
"C1,C2","0.33F","https://cz.mouser.com/ProductDetail/581-SCMT32H755SRBB0","SuperCapacitors:C_Radial_D8mm_W24mm_L14mm_P13.5mm","2",""
"C4","100n","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1",""
"D1","RSX301L","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/diode/schottky_barrier/rsx301l-30ddte25-e.pdf","Diode_SMD:D_SMA","1","DNP"
"D2","RSX301L","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/diode/schottky_barrier/rsx301l-30ddte25-e.pdf","Diode_SMD:D_SMA","1",""
"J1,J3","SSQ-108-03-T-D","https://suddendocs.samtec.com/catalog_english/ssq_th.pdf","SSQ-xxx-03-T-D:SAMTEC_SSQ-108-XX-X-D","2",""
"J2","SSQ-110-03-T-D","https://suddendocs.samtec.com/catalog_english/ssq_th.pdf","SSQ-xxx-03-T-D:SAMTEC_SSQ-110-03-T-D","1",""
"J4","SSQ-106-03-T-D","https://suddendocs.samtec.com/catalog_english/ssq_th.pdf","SSQ-xxx-03-T-D:SAMTEC_SSQ-106-03-T-D","1",""
"J5","Conn_02x05_Odd_Even","https://cz.mouser.com/datasheet/2/181/M20-783-1133465.pdf","Connector_PinSocket_2.54mm:PinSocket_2x05_P2.54mm_Vertical","1",""
"J8","SSQ-114-03-T-D","https://suddendocs.samtec.com/catalog_english/ssq_th.pdf","SSQ-xxx-03-T-D:SAMTEC_SSQ-114-03-T-D","1",""
"J9","SSQ-116-03-T-D","https://suddendocs.samtec.com/catalog_english/ssq_th.pdf","SSQ-xxx-03-T-D:SAMTEC_SSQ-116-XX-X-D","1",""
"Q1,Q2,Q3,Q4,Q5","BC546","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92_Inline","5",""
"R1","10R","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","1","DNP"
"R2","18k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R3","33k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17","1k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","14",""
"R18","10R","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","1",""
"U1","DS3231M","http://datasheets.maximintegrated.com/en/ds/DS3231.pdf","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","1",""
"U2","NEO-7M-MODULE","https://www.mouser.co.uk/datasheet/2/1025/NEO_7_DataSheet__UBX_13003830_-2010064.pdf","Neo7M_Module_Lib:Neo-7M-Module","1",""
